method,checkpoint_id,average_accuracy
standard,1,38.30
standard,2,40.45
standard,3,41.54
standard,4,41.57
standard,5,42.23
standard,6,42.81
standard,7,42.60
standard,8,41.80
cosine,1,37.43
cosine,2,40.62
cosine,3,40.97
cosine,4,40.32
cosine,5,40.71
cosine,6,40.03
cosine,7,40.44
cosine,8,40.07
EPIC_inst,1,34.03
EPIC_inst,2,36.05
EPIC_inst,3,36.49
EPIC_inst,4,38.10
EPIC_inst,5,38.10
EPIC_inst,6,36.22
EPIC_inst,7,37.61
EPIC_inst,8,37.95
standard,overall,41.41
cosine,overall,40.07
EPIC_inst,overall,36.82
